2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 4 running 44.944 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 5 running 44.875 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 6 running 44.856 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 7 running 45.0 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 9 running 44.902 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 10 running 45.061 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 11 running 44.88 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 12 running 44.917 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 13 running 44.914 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 14 running 44.896 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 15 running 44.837 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 16 running 44.947 ps.
2026-03-27 08:06 - ml4cascades.lammps.process - INFO - Found defect.txt in 17 running 45.093 ps.
